latitude;longitude;classificacao_acidente;relev
-26.320844;-53.550503;Sem Vítimas;1
-7.21058153;-35.93318939;Com Vítimas Fatais;1
-4.52856595;-39.3636788;Com Vítimas Feridas;1
-8.68263674;-35.57938824;Com Vítimas Feridas;1
-22.95442983;-44.32193004;Com Vítimas Feridas;1
-5.048756;-42.569283;Com Vítimas Feridas;1
-22.8826217;-46.40779515;Com Vítimas Feridas;1
-25.80839378;-53.76947058;Com Vítimas Feridas;1
-25.0475499;-48.55355172;Com Vítimas Feridas;1
-16.57604128;-41.50375664;Sem Vítimas;1
-25.46903074;-49.63003725;Com Vítimas Feridas;1
-15.18154098;-52.18080293;Com Vítimas Feridas;1
-28.46630107;-48.99653096;Com Vítimas Feridas;1
-19.92372561;-44.01700789;Com Vítimas Feridas;1
-24.9261;-53.4589;Com Vítimas Feridas;1
-3.84905477;-38.77921916;Com Vítimas Feridas;1
-16.325272;-48.922024;Com Vítimas Feridas;1
-7.29013399;-35.89029705;Sem Vítimas;1
-20.06874641;-42.17752394;Sem Vítimas;1
-15.10294599;-56.51994216;Com Vítimas Feridas;1
-5.31803594;-35.41480794;Com Vítimas Feridas;1
-25.19183553;-48.88629556;Com Vítimas Feridas;1
-23.18274416;-45.84633592;Sem Vítimas;1
-22.94374503;-44.32522199;Sem Vítimas;1
-26.47135714;-48.74457217;Com Vítimas Feridas;1
-19.78607788;-43.71630549;Com Vítimas Feridas;1
-19.74716686;-44.14731173;Sem Vítimas;1
-28.26202477;-48.70403355;Com Vítimas Feridas;1
-19.76993445;-44.12742376;Com Vítimas Feridas;1
-21.02634744;-41.16929054;Sem Vítimas;1
-25.3630051;-54.25351194;Com Vítimas Feridas;1
0.5673526;-51.15126818;Com Vítimas Feridas;1
-6.801861;-42.970663;Com Vítimas Feridas;1
-24.9235;-53.3911;Sem Vítimas;1
-26.17492292;-53.66749187;Com Vítimas Fatais;1
-25.33269888;-54.19204103;Com Vítimas Feridas;1
-15.79311948;-48.16174641;Com Vítimas Feridas;1
-4.10857928;-38.4942173;Com Vítimas Feridas;1
-20.03619694;-44.24586303;Com Vítimas Feridas;1
-15.66667646;-56.23661041;Com Vítimas Feridas;1
-25.06368403;-48.57051896;Com Vítimas Feridas;1
-11.22939795;-48.93308644;Com Vítimas Feridas;1
-25.59108;-48.89463;Com Vítimas Feridas;1
-22.56876595;-43.27693723;Com Vítimas Feridas;1
-23.2972932;-51.19229794;Com Vítimas Feridas;1
-7.03208047;-37.29365088;Com Vítimas Feridas;1
-21.05312771;-45.01951404;Sem Vítimas;1
-15.728034;-48.193768;Com Vítimas Feridas;1
-19.83894801;-43.18248641;Com Vítimas Feridas;1
-21.875084;-43.339466;Com Vítimas Feridas;1
-19.73163489;-45.8631039;Com Vítimas Fatais;1
-26.37833107;-49.31732124;Com Vítimas Feridas;1
